work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,EN,PT,ML_Engineer,15966,DE,100,DE,S
2020,MI,FT,Business_Data_Analyst,95000,US,0,US,M
2020,EN,FT,Data_Analyst,91000,US,100,US,L
2020,MI,FT,Data_Engineer,112872,GB,50,GB,L
2020,EX,FT,Managing_Director_Data_Science,300000,US,100,US,L
2020,SE,FT,Big_Data_Engineer,109024,GB,50,GB,M
2020,MI,FT,Data_Analyst,85000,US,100,US,L
2020,SE,FT,Data_Scientist,412000,US,100,US,L
2020,SE,FT,Data_Scientist,91237,AT,0,AT,S
2020,EN,FT,Data_Analyst,72000,US,100,US,L
2020,EN,FT,Big_Data_Engineer,70000,US,100,US,L
2020,MI,FT,Research_Scientist,450000,US,0,US,M
2020,EX,FT,Data_Engineer,79833,ES,50,ES,L
2020,MI,FT,Data_Scientist,79833,DE,0,DE,L
2020,MI,FT,Data_Engineer,74130,AT,50,AT,L
2020,MI,FT,Data_Engineer,70139,FR,50,FR,L
2020,EN,CT,Staff_Data_Analyst,44753,CA,50,CA,L
2020,SE,FT,Data_Engineer,33511,MX,0,MX,S
2020,MI,CT,Sales_Data_Analyst,60000,NG,0,NG,M
2020,SE,FT,Data_Scientist,68428,GR,100,US,L
2020,MI,FT,Data_Scientist,76958,GB,100,GB,S
2020,SE,FL,Computer_Vision_Engineer,60000,RU,100,US,S
2020,MI,FT,Lead_Data_Engineer,56000,PT,100,US,M
2020,EN,FT,Data_Scientist,62726,DE,50,DE,S
2020,MI,FT,BI_Data_Analyst,98000,US,0,US,M
2020,MI,FT,Data_Scientist,62726,FR,50,LU,S
2020,EN,CT,Business_Data_Analyst,100000,US,100,US,L
2020,EN,FT,Azure_Data_Engineer,100000,MU,0,MU,S
2020,EN,FT,AI_Scientist,45896,DK,50,DK,S
2020,SE,FT,Machine_Learning_Scientist,260000,JP,0,JP,S
2020,EN,FT,Machine_Learning_Engineer,250000,US,50,US,L
2020,SE,FT,Data_Science_Manager,190200,US,100,US,M
2020,SE,FT,Lead_Data_Scientist,190000,US,100,US,S
2020,SE,FT,Data_Engineer,188000,US,100,US,L
2020,SE,FT,Staff_Data_Scientist,164000,US,50,US,M
2020,SE,FT,Machine_Learning_Manager,117104,CA,50,CA,L
2020,SE,FT,Machine_Learning_Engineer,150000,US,50,US,L
2020,MI,FT,Data_Scientist,138350,US,100,US,M
2020,EN,FT,Machine_Learning_Engineer,138000,US,100,US,S
2020,MI,FT,Business_Data_Analyst,135000,US,100,US,L
2020,MI,FT,Data_Engineer,130800,ES,100,US,M
2020,SE,FT,Principal_Data_Scientist,148261,DE,100,DE,M
2020,SE,FT,Lead_Data_Engineer,125000,NZ,50,NZ,S
2020,SE,FT,Data_Scientist,120000,US,50,US,L
2020,MI,FT,Data_Scientist,118000,US,100,US,M
2020,MI,FT,Lead_Data_Scientist,115000,AE,0,AE,L
2020,MI,FT,Data_Engineer,110000,US,100,US,L
2020,MI,FT,Data_Engineer,106000,US,100,US,L
2020,MI,FT,Data_Scientist,105000,US,100,US,L
2020,EN,FT,Data_Scientist,105000,US,100,US,S
2020,MI,FT,Data_Science_Consultant,103000,US,100,US,L
2020,SE,FT,Big_Data_Engineer,114047,PL,100,GB,S
2020,MI,FT,Data_Engineer,59303,DE,100,DE,S
2020,MI,FT,Lead_Data_Analyst,87000,US,100,US,L
2020,MI,FT,Data_Scientist,38776,ES,100,ES,M
2020,MI,FT,Machine_Learning_Infrastructure_Engineer,50180,PT,0,PT,M
2020,EN,FT,Data_Scientist,49268,DE,0,DE,S
2020,EN,FT,Data_Analyst,47899,DE,0,DE,L
2020,EN,FT,Research_Scientist,42000,NL,50,NL,L
2020,SE,FT,Data_Engineer,47899,GR,50,GR,L
2020,MI,FT,Data_Analyst,46759,FR,50,FR,L
2020,SE,FT,Machine_Learning_Engineer,45618,HR,100,HR,S
2020,EN,FT,Data_Scientist,51321,FR,0,FR,S
2020,MI,FT,Data_Scientist,42197,FR,50,FR,S
2020,EN,FT,Data_Scientist,39916,FR,0,FR,M
2020,EN,FT,Data_Engineer,41689,JP,100,JP,S
2020,EN,FT,Data_Analyst,22809,PT,100,PT,M
2020,MI,FT,Product_Data_Analyst,20000,HN,0,HN,S
